                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.21843,                0.29305,                0.22624,                0.82643,                0.99187,                0.99202,                 0.9947,                0.98377,                0.99187,                0.99202,                 0.9947,                0.95661,                0.17506,                0.26583,                0.14052,                0.79837,             0.00035234,             0.00035234,             0.00035234
                     39,                0.22264,                0.29628,                0.22574,                0.82482,                0.99235,                0.99131,                0.99484,                0.98235,                0.99293,                0.99142,                0.99486,                0.95938,                0.18234,                0.26052,                0.14472,                0.80283,             0.00034683,             0.00034683,             0.00034683
                     40,                 0.2171,                0.28452,                0.21975,                0.82542,                0.99297,                0.99129,                0.99473,                0.98242,                0.99297,                0.99129,                0.99473,                0.95918,                   0.18,                0.25828,                0.14574,                0.79969,             0.00034133,             0.00034133,             0.00034133
                     41,                0.22045,                0.29713,                0.21937,                0.82983,                0.99151,                0.99142,                 0.9944,                0.98441,                0.99151,                0.99142,                0.99385,                0.96069,                0.17458,                0.26808,                0.14595,                0.79691,             0.00033582,             0.00033582,             0.00033582
                     42,                0.21669,                0.28743,                0.21752,                0.82368,                0.99182,                0.99322,                0.99414,                0.98473,                0.99182,                0.99322,                0.99414,                0.95962,                0.17277,                0.26175,                0.14562,                0.79503,             0.00033032,             0.00033032,             0.00033032
                     43,                0.21726,                0.28741,                0.20805,                0.82487,                0.99388,                0.99459,                0.99428,                0.98529,                0.99388,                0.99459,                0.99428,                0.96223,                0.17287,                0.25572,                0.14424,                0.79659,             0.00032482,             0.00032482,             0.00032482
                     44,                0.21698,                0.28337,                0.21155,                0.82619,                0.99101,                0.98982,                0.99312,                0.98518,                0.98714,                0.99535,                0.99323,                0.96036,                 0.1666,                 0.2526,                0.14536,                0.79313,             0.00031931,             0.00031931,             0.00031931
                     45,                0.21578,                0.28766,                0.21381,                0.82365,                0.99028,                 0.9905,                 0.9937,                 0.9853,                0.99028,                 0.9905,                 0.9937,                0.95991,                0.16441,                0.25428,                0.14687,                 0.7946,             0.00031381,             0.00031381,             0.00031381
                     46,                0.21168,                0.28281,                0.20827,                0.82074,                0.99356,                0.99279,                0.99475,                0.98524,                0.99356,                0.99279,                0.99475,                0.96205,                0.16364,                0.24808,                0.13281,                0.79274,              0.0003083,              0.0003083,              0.0003083
                     47,                0.21442,                0.29095,                 0.2121,                0.82322,                 0.9916,                0.99353,                0.99443,                0.98603,                 0.9916,                0.99353,                0.99443,                0.95979,                0.16488,                0.25275,                 0.1425,                0.79376,              0.0003028,              0.0003028,              0.0003028
                     48,                0.20986,                0.28254,                0.20724,                0.82263,                0.98989,                0.99581,                0.99442,                0.98665,                0.98989,                0.99581,                0.99442,                0.95986,                0.16054,                0.24732,                0.13766,                0.79244,             0.00029729,             0.00029729,             0.00029729
                     49,                0.21352,                0.28755,                 0.2074,                 0.8192,                0.97937,                0.99246,                0.99451,                0.98549,                0.97937,                0.99246,                0.99451,                0.96235,                0.16481,                0.24668,                0.14222,                0.79353,             0.00029179,             0.00029179,             0.00029179
                     50,                0.20694,                0.28319,                0.20019,                0.82402,                0.98356,                0.99286,                0.99421,                0.98616,                0.98356,                0.99286,                0.99421,                0.96229,                0.16024,                0.25097,                0.14026,                0.79252,             0.00028628,             0.00028628,             0.00028628
                     51,                 0.2056,                 0.2773,                0.19816,                0.81917,                0.99222,                0.99261,                0.99409,                0.98617,                0.99222,                0.99261,                0.99409,                0.96449,                0.16285,                0.25443,                0.13827,                0.79296,             0.00028078,             0.00028078,             0.00028078
                     52,                 0.2022,                0.27357,                0.19772,                 0.8215,                0.99075,                0.99398,                0.99455,                0.98735,                0.99075,                0.99398,                0.99455,                0.96057,                0.15683,                0.24898,                0.13283,                0.78978,             0.00027528,             0.00027528,             0.00027528
                     53,                0.20025,                0.26939,                0.20033,                0.82087,                0.99019,                0.99233,                0.99472,                0.98712,                0.99019,                0.99233,                0.99472,                0.96578,                0.15505,                0.24876,                0.13378,                0.78925,             0.00026977,             0.00026977,             0.00026977
                     54,                0.19964,                0.27897,                 0.1933,                0.81822,                0.98771,                0.99432,                0.99425,                0.98664,                0.98771,                0.99432,                0.99425,                0.96499,                0.15325,                0.24924,                0.13713,                0.78911,             0.00026427,             0.00026427,             0.00026427
                     55,                0.20017,                0.27151,                0.19149,                0.82113,                0.99274,                0.99241,                 0.9945,                0.98814,                0.99274,                0.99241,                 0.9945,                0.96843,                0.15539,                0.24528,                0.13103,                0.78885,             0.00025876,             0.00025876,             0.00025876
                     56,                0.20198,                0.26984,                0.19136,                0.82054,                0.98095,                0.99349,                0.99365,                0.98656,                0.98095,                0.99349,                0.99365,                0.96422,                 0.1518,                0.24721,                0.14121,                0.78768,             0.00025326,             0.00025326,             0.00025326
                     57,                0.19574,                0.27057,                0.18295,                0.81798,                0.98972,                0.99569,                0.99401,                 0.9884,                0.98972,                0.99569,                0.99401,                0.96599,                0.15061,                0.24464,                0.12601,                0.78761,             0.00024775,             0.00024775,             0.00024775
                     58,                0.19388,                0.26495,                0.18132,                0.81869,                0.98614,                0.99594,                0.99432,                0.98793,                0.98614,                0.99594,                0.99432,                0.96535,                0.14739,                0.24056,                0.12995,                0.78794,             0.00024225,             0.00024225,             0.00024225
                     59,                0.19629,                0.26873,                0.18069,                 0.8158,                0.99287,                0.99806,                0.99477,                 0.9885,                0.99287,                0.99806,                0.99477,                0.96659,                0.15154,                0.23815,                0.12219,                0.78801,             0.00023674,             0.00023674,             0.00023674
                     60,                0.19881,                0.26834,                0.18584,                0.81877,                0.99457,                0.99461,                0.99475,                0.98832,                0.99457,                0.99461,                0.99475,                0.96723,                0.15804,                0.23939,                0.12273,                0.79053,             0.00023124,             0.00023124,             0.00023124
                     61,                0.19819,                0.26993,                0.18599,                0.81786,                0.99625,                0.99201,                0.99492,                0.98915,                0.99625,                0.99201,                0.99492,                0.96469,                0.15206,                0.24129,                0.12036,                0.78971,             0.00022574,             0.00022574,             0.00022574
                     62,                0.18945,                 0.2605,                0.17913,                0.81672,                 0.9928,                0.99515,                0.99487,                0.98799,                 0.9928,                0.99515,                0.99487,                0.96419,                0.14923,                0.23922,                 0.1182,                0.78806,             0.00022023,             0.00022023,             0.00022023
                     63,                0.19179,                0.26306,                0.17975,                0.82009,                0.99556,                0.99529,                  0.995,                0.98853,                0.99556,                0.99529,                  0.995,                0.96356,                0.15181,                 0.2385,                 0.1236,                 0.7896,             0.00021473,             0.00021473,             0.00021473
                     64,                0.19815,                0.27053,                0.18241,                0.82136,                0.99392,                 0.9959,                0.99443,                0.98794,                0.99374,                0.99712,                0.99488,                 0.9647,                0.15277,                 0.2439,                0.11802,                0.79039,             0.00020922,             0.00020922,             0.00020922
                     65,                0.18988,                0.25509,                0.17811,                0.82224,                0.99229,                0.99399,                0.99453,                0.98895,                0.99229,                0.99399,                0.99453,                0.96386,                0.14722,                0.24246,                0.12108,                0.78923,             0.00020372,             0.00020372,             0.00020372
                     66,                0.18487,                0.25787,                0.17924,                0.81652,                0.98997,                0.99457,                0.99457,                0.98839,                0.98997,                0.99457,                0.99457,                0.96538,                0.14709,                 0.2394,                0.12523,                 0.7885,             0.00019821,             0.00019821,             0.00019821
                     67,                0.18248,                0.24929,                0.17318,                0.81273,                0.99268,                0.99766,                0.99472,                0.98862,                0.99268,                0.99766,                0.99472,                0.96741,                0.14414,                 0.2372,                0.11501,                0.78778,             0.00019271,             0.00019271,             0.00019271
                     68,                0.18453,                0.25986,                0.17405,                0.81688,                0.99604,                0.99517,                0.99482,                0.98906,                0.99604,                0.99517,                0.99482,                0.96584,                0.14412,                0.23803,                0.11671,                0.78792,             0.00018721,             0.00018721,             0.00018721
                     69,                0.18786,                0.25719,                0.17418,                0.81707,                0.98666,                0.99805,                0.99473,                0.98927,                0.98666,                0.99805,                0.99473,                0.96522,                0.14493,                0.23475,                0.11828,                0.78905,              0.0001817,              0.0001817,              0.0001817
                     70,                0.18638,                0.26103,                0.17462,                0.81817,                0.99567,                0.99511,                 0.9949,                0.98958,                0.99567,                0.99511,                 0.9949,                0.96743,                0.14576,                0.23424,                0.11406,                0.78878,              0.0001762,              0.0001762,              0.0001762
                     71,                0.18591,                0.25911,                0.17127,                0.81579,                0.99691,                0.99496,                0.99494,                0.98968,                0.99691,                0.99496,                0.99494,                0.96618,                0.14157,                0.23741,                0.11361,                0.78702,             0.00017069,             0.00017069,             0.00017069
                     72,                0.18228,                0.25141,                0.16899,                0.81859,                 0.9936,                0.99852,                 0.9949,                0.99022,                 0.9936,                0.99852,                 0.9949,                0.96551,                0.14163,                0.23457,                0.11137,                0.78597,             0.00016519,             0.00016519,             0.00016519
                     73,                0.18509,                0.25477,                0.16891,                0.81584,                0.99435,                0.99851,                0.99489,                0.98952,                0.99435,                0.99851,                0.99489,                0.96702,                0.14193,                 0.2293,                0.11361,                0.78687,             0.00015968,             0.00015968,             0.00015968
                     74,                0.18439,                 0.2541,                0.17226,                0.81847,                0.99554,                0.99872,                0.99487,                 0.9893,                0.99554,                0.99872,                0.99487,                0.96574,                0.14198,                0.23127,                0.11343,                0.78709,             0.00015418,             0.00015418,             0.00015418
                     75,                0.18193,                0.26162,                0.17187,                0.81764,                0.99511,                0.99739,                0.99483,                 0.9893,                0.99511,                0.99739,                0.99483,                0.96604,                0.14253,                0.22791,                0.11374,                0.78741,             0.00014867,             0.00014867,             0.00014867
                     76,                0.18179,                0.25469,                0.16308,                0.81669,                0.99412,                 0.9964,                0.99478,                0.98877,                0.99412,                 0.9964,                0.99478,                0.96584,                0.14053,                0.23161,                0.11479,                0.78636,             0.00014317,             0.00014317,             0.00014317
                     77,                0.18165,                 0.2538,                  0.166,                0.81528,                0.99009,                0.99792,                0.99466,                0.98973,                0.99386,                0.99229,                 0.9945,                 0.9668,                0.13943,                0.23157,                0.11222,                0.78592,             0.00013767,             0.00013767,             0.00013767
                     78,                0.17752,                0.24891,                0.16145,                0.81639,                0.99509,                0.99818,                0.99483,                0.98933,                0.99723,                0.99454,                 0.9946,                0.96566,                0.13568,                0.22803,                0.10877,                0.78612,             0.00013216,             0.00013216,             0.00013216
                     79,                0.17812,                0.24823,                0.15875,                0.81571,                 0.9943,                0.99755,                0.99459,                0.98908,                 0.9943,                0.99755,                0.99459,                0.96716,                0.13531,                0.22953,                  0.112,                 0.7865,             0.00012666,             0.00012666,             0.00012666
                     80,                0.17494,                0.24764,                0.16039,                0.81746,                0.99535,                0.99487,                 0.9946,                0.98833,                0.99535,                0.99487,                 0.9946,                0.96566,                0.13694,                0.22829,                0.11165,                 0.7871,             0.00012115,             0.00012115,             0.00012115
                     81,                0.17652,                 0.2491,                0.15588,                0.81243,                0.99411,                0.99821,                0.99482,                0.98921,                0.99501,                0.99734,                0.99436,                0.96469,                0.13421,                0.23072,                0.10575,                0.78575,             0.00011565,             0.00011565,             0.00011565
                     82,                0.17569,                0.24959,                0.15791,                0.81468,                0.99333,                0.99841,                0.99482,                0.98983,                0.99333,                0.99841,                0.99482,                0.96599,                 0.1333,                0.22953,                0.10653,                0.78474,             0.00011014,             0.00011014,             0.00011014
                     83,                0.17107,                0.24365,                0.15611,                0.81452,                0.99397,                0.99764,                0.99481,                0.99088,                0.99397,                0.99764,                0.99481,                0.96605,                0.13103,                0.22784,                0.11014,                0.78213,             0.00010464,             0.00010464,             0.00010464
                     84,                0.17345,                 0.2421,                0.15087,                0.81319,                0.99391,                0.99699,                 0.9948,                 0.9896,                0.99391,                0.99699,                 0.9948,                0.96671,                0.13336,                0.22521,                0.10729,                0.78399,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     85,                0.17424,                 0.2475,                0.15128,                0.81863,                0.99543,                0.99833,                0.99488,                0.98987,                0.99543,                0.99833,                0.99488,                0.96851,                0.13066,                0.22433,                0.10339,                0.78407,              9.363e-05,              9.363e-05,              9.363e-05
                     86,                0.16576,                0.23546,                0.14904,                0.81333,                0.99493,                 0.9981,                0.99491,                0.99008,                0.99493,                 0.9981,                0.99491,                0.96793,                0.12744,                 0.2249,                0.10228,                0.78214,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     87,                0.17234,                0.24699,                 0.1542,                0.81517,                0.99441,                0.99828,                0.99476,                0.99081,                0.99441,                0.99828,                0.99476,                 0.9672,                0.12719,                0.22475,                0.10373,                0.78127,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     88,                0.17021,                0.24072,                0.14771,                0.81394,                0.99498,                0.99837,                0.99479,                0.99034,                0.99498,                0.99837,                0.99479,                0.96826,                0.12585,                 0.2235,                0.10297,                0.78085,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     89,                0.16933,                0.24176,                0.14776,                0.81633,                 0.9954,                0.99841,                0.99471,                0.99079,                 0.9954,                0.99841,                0.99471,                0.96845,                0.12659,                0.22344,                0.10225,                0.78165,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     90,                0.16456,                0.23801,                0.14293,                0.81243,                0.99552,                0.99827,                0.99479,                0.99049,                0.99552,                0.99827,                0.99479,                0.96675,                0.12568,                0.22285,                0.09934,                0.78212,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     91,                0.12331,                0.20711,                0.10684,                0.78133,                0.99553,                0.99806,                0.99482,                0.99008,                0.99553,                0.99806,                0.99482,                0.96714,                0.12772,                0.22559,                0.10029,                0.78281,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     92,                0.11796,                0.19984,                0.10362,                0.78433,                0.99551,                0.99831,                0.99481,                0.99011,                0.99551,                0.99831,                0.99481,                0.96932,                0.12726,                0.22403,                0.10027,                0.78318,               5.51e-05,               5.51e-05,               5.51e-05
                     93,                0.11413,                0.19756,                0.10081,                 0.7822,                0.99611,                0.99804,                0.99484,                0.99002,                0.99611,                0.99804,                0.99484,                0.96868,                0.12517,                  0.223,                0.09976,                0.78274,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     94,                0.11474,                0.19505,                0.10211,                0.77951,                0.99558,                0.99831,                0.99487,                0.99067,                0.99558,                0.99831,                0.99487,                0.96887,                0.12381,                0.22056,                0.09747,                0.78224,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     95,                0.11062,                0.19451,                0.09939,                 0.7769,                0.99538,                0.99826,                0.99488,                0.99093,                0.99538,                0.99826,                0.99488,                0.97084,                0.12319,                0.21998,                0.09797,                0.78241,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     96,                0.10994,                0.19394,                0.09754,                0.77712,                0.99539,                0.99841,                 0.9949,                 0.9908,                0.99539,                0.99841,                 0.9949,                0.96883,                0.12252,                0.21968,                0.09738,                0.78222,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     97,                0.10885,                0.19484,                0.09781,                0.77705,                0.99556,                0.99846,                0.99487,                0.99052,                0.99556,                0.99846,                0.99487,                 0.9686,                0.12296,                0.22004,                0.09679,                0.78201,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     98,                0.11201,                0.19892,                0.09922,                0.77771,                0.99541,                0.99843,                0.99487,                0.99081,                0.99541,                0.99843,                0.99487,                0.96923,                0.12202,                0.21984,                0.09625,                0.78215,             2.2073e-05,             2.2073e-05,             2.2073e-05
                     99,                0.10813,                0.19222,                0.09749,                 0.7775,                0.99551,                0.99833,                0.99487,                0.99079,                0.99551,                0.99833,                0.99487,                0.96922,                0.12143,                0.21947,                0.09573,                0.78196,             1.6569e-05,             1.6569e-05,             1.6569e-05
                    100,                0.10789,                0.19432,                0.09631,                 0.7793,                0.99567,                0.99816,                0.99487,                0.99077,                0.99567,                0.99816,                0.99487,                0.96887,                0.12075,                0.21973,                0.09615,                0.78176,             1.1064e-05,             1.1064e-05,             1.1064e-05
